source	target
P78362	Q01081
P78362	Q5VTL8
P78362	Q5T200
P78362	Q6NXP0
P51617	Q15750
P51617	Q96CG3
P51617	Q9NYJ8
P51617	Q9Y4K3
Q08379	Q9BSJ6
Q08379	Q96SQ5
Q08379	Q15973
Q99816	Q9UKU7
Q8N5C8	Q9Y4K3
Q8N5C8	Q9BYM8
Q8N5C8	Q9NYJ8
P51668	Q9Y4K3
P51668	Q9BYM8
P51668	Q8N5U6
Q15843	Q9UNS2
Q15843	Q9Y4K3
Q15843	Q5TIA1
Q15843	Q16762
Q9NYJ8	Q9Y4K3
Q15750	Q8N5C8
Q15750	Q9NYJ8
Q15750	Q9Y4K3
Q9BYM8	Q9Y4K3
Q9BYM8	Q9NYJ8
Q9NX70	Q9ULK4
Q96G25	Q9NVC6
Q96G25	Q9NX70
Q96G25	Q9ULK4
Q9NVC6	Q9ULK4
Q9NVC6	Q9NX70
P49116	Q9BYM8
P49116	Q9NYJ8
P49116	Q15750
P49116	Q9Y4K3
P24863	Q96G25
P24863	Q08379
P24863	Q9ULK4
P24863	Q5T200
P24863	Q9NVC6
P24863	Q9NX70
Q5T200	Q9ULK4
Q5T200	Q9NX70
Q5T200	Q8N7E2
Q5T200	Q9NVC6
Q5T200	Q96G25
Q15007	Q9ULK4
Q15007	Q15750
Q15007	Q8N7E2
Q15007	Q5T200
Q86UT8	Q9P1W9
Q01081	Q8TA86
Q96CG3	Q9Y4K3
Q96S65	Q96SQ5
O43513	Q9NVC6
O43513	Q9ULK4
O43513	Q9NX70
O43513	Q96G25
O43513	P24863
P62308	Q15427
P62308	Q9ULK4
P62308	Q86UT8
Q5TAQ9	Q9UNS2
O43318	Q9BYM8
O43318	P51617
O43318	Q12765
O43318	Q9NYJ8
O43318	Q8NFM7
O43318	Q15750
O43318	Q8N5C8
O43318	Q9Y4K3
O43318	Q10589
Q86XT2	Q9UKU7
Q86XT2	Q99816
Q9NQZ6	Q9ULM2
Q10589	Q15750
Q10589	Q9NYJ8
O14964	O43318
O14964	Q86XT2
O14964	Q15843
O14964	O43513
O14964	Q9BYM8
O14964	Q12765
O14964	Q08379
O14964	Q99816
O14964	Q10589
Q12765	Q9NYJ8
Q12765	Q15750
Q8TB05	Q96G25
Q8NFM7	Q9Y4K3
Q99706	Q9Y4K3
O95273	Q9BSJ6
O95273	Q9ULM2
O95273	Q9BYI3
O95273	Q9P2Z0
O95273	Q15973
O95273	Q8NEP9
A0JLT2	Q9NX70
A0JLT2	Q9NVC6
A0JLT2	O43513
A0JLT2	Q96G25
A0JLT2	Q9ULK4
A0JLT2	Q5T200
A0JLT2	P24863
O14836	Q9Y4K3
O14836	P51617
A5D8V6	Q08379
A5D8V6	Q99816
A5D8V6	O14964
Q5VYS4	Q9Y4K3
