source	target
P51617	Q15750
P51617	Q96CG3
P51617	Q15306
P51617	Q9NYJ8
P51617	Q9Y4K3
Q15843	Q9HAU4
Q15843	Q9Y4K3
Q15843	Q5TIA1
Q15843	Q16762
Q9NYJ8	Q9Y4K3
Q15750	Q8N4J0
Q15750	Q9NYJ8
Q15750	Q9Y4K3
Q9BYM8	Q9Y4K3
Q9BYM8	Q9NYJ8
P62837	Q15843
P62837	Q9HAU4
P62837	Q9Y4K3
P62837	Q9BYM8
P62837	Q8N5U6
Q9H204	Q9NX70
Q9H204	Q9ULK4
Q9H204	Q9NVC6
Q9NX70	Q9ULK4
Q13547	Q99717
Q13547	Q9BSJ6
Q13547	Q9NYJ8
Q13547	Q9Y4K3
Q13547	Q9H3M7
Q13547	Q8N4J0
Q96G25	Q9NVC6
Q96G25	Q9NX70
Q96G25	Q9ULK4
Q96G25	Q9H204
Q9NVC6	Q9ULK4
Q9NVC6	Q9NX70
Q99717	Q9HAU4
P49116	Q13547
P49116	Q9BYM8
P49116	Q9NYJ8
P49116	Q15750
P49116	Q9Y4K3
P24863	Q96G25
P24863	Q9ULK4
P24863	Q9NVC6
P24863	Q9H204
P24863	Q9NX70
Q8N4J0	Q9NYJ8
P61201	Q5TAQ9
P61201	Q15843
P61201	Q9ULK4
Q9H3M7	Q9HAU4
Q96CG3	Q9Y4K3
O43513	Q9NVC6
O43513	Q9ULK4
O43513	Q9NX70
O43513	Q96G25
O43513	O60244
O43513	Q9H204
O43513	P24863
O60244	Q9NVC6
O60244	Q9NX70
O60244	Q9ULK4
O60244	Q9H204
O60244	Q96G25
O60244	P24863
Q15306	Q9Y4K3
O15379	Q13547
O15379	Q9NYJ8
O15379	Q9H3M7
O15379	P49116
O00308	P51795
O00308	P62837
O00308	P98153
O00308	P37088
O00308	Q15012
P98153	Q9HAU4
Q10589	Q15750
Q10589	Q9NYJ8
O14964	Q15843
O14964	O43513
O14964	Q9BYM8
O14964	P37088
O14964	Q99717
O14964	Q10589
Q8TB05	Q96G25
Q4G148	Q9Y4K3
Q99706	Q9Y4K3
O14920	Q9NYJ8
O14920	Q9Y4K3
O14920	Q15750
O14920	P51617
O14920	P49116
A0JLT2	Q9NX70
A0JLT2	Q9H204
A0JLT2	Q9NVC6
A0JLT2	O43513
A0JLT2	O60244
A0JLT2	Q96G25
A0JLT2	Q9ULK4
A0JLT2	P24863
Q8NFU5	Q9Y4K3
O14836	Q9Y4K3
O14836	P51617
Q5VYS4	Q9Y4K3
