source	target
Q99729	Q9GZQ8
Q99729	Q9NZI8
Q99729	Q9UJV9
Q99729	Q9H0R8
Q99729	Q9UBU9
Q99729	Q9H492
Q99729	Q9NQC7
P62906	Q00839
P62906	P84098
P62906	Q9NQC7
P62906	Q15910
P62906	Q93034
P62906	Q92905
P62906	Q9H0R8
P62906	P63104
P62906	Q7Z6Z7
P62906	Q86VP6
P62906	Q9NRC8
P62906	P68104
P62906	P62913
P62906	Q99496
P62906	Q02878
P62906	Q96EB6
P62906	Q12905
P62906	Q9H0W5
P62906	Q07020
P62906	P62917
P62906	Q13618
P62906	Q12906
P62906	Q15287
P62906	Q13148
P62906	Q9UQL6
P62906	Q14999
P62906	Q7L2Z9
P62906	Q13616
P62906	Q00987
P62906	Q14872
P62906	Q15843
P62906	Q86VM9
Q15910	Q9GZV8
Q15910	Q96EB6
Q15910	Q9UKM9
Q15910	Q96ST3
Q15910	Q7Z6Z7
Q15910	Q16629
Q15910	Q92769
Q15910	Q99729
Q15910	Q92900
Q15910	Q9Y2W1
Q15910	Q93009
Q15910	Q99496
Q15910	Q8IUQ4
Q15910	Q96PK6
Q15366	Q7L2J0
Q15366	Q9UJV9
Q15366	Q9NQC7
Q15366	Q9NZI8
Q15366	Q9Y265
Q15366	Q9H0R8
Q15366	Q9Y230
Q15366	Q9H0W5
Q15366	Q92905
Q15366	Q9UQL6
Q15366	Q99459
Q15366	Q7Z6Z7
Q08211	Q99459
Q08211	Q9H0W5
Q08211	Q14191
Q08211	Q9UJV9
Q08211	Q92905
Q08211	Q9H492
Q08211	Q9H0R8
Q08211	Q92841
Q08211	Q9NZI8
Q08211	Q86VP6
Q08211	Q12905
Q08211	Q13617
Q08211	Q14999
Q08211	Q15843
Q08211	Q9NZC7
Q08211	Q9H4L7
Q08211	Q15910
Q08211	Q12906
Q08211	Q9NR30
Q08211	Q99496
Q08211	Q15029
Q08211	Q9UQ35
Q08211	Q86V81
Q08211	Q9Y2W1
Q08211	Q9UKM9
Q08211	Q13573
Q08211	Q9NQC7
Q08211	Q13151
Q08211	Q15022
Q08211	Q6P2Q9
Q08211	Q13616
Q08211	Q16629
Q08211	Q9GZQ8
Q08211	Q15428
Q08211	Q9UBU9
Q08211	Q14872
Q08211	Q96SB4
Q08211	Q92499
Q08211	Q13620
Q08211	Q7L2J0
Q08211	Q93034
Q08211	Q9UQL6
Q08211	Q13148
Q08211	Q13618
Q08211	Q93009
Q9NZI8	Q9UHX1
Q9NZI8	Q9UQL6
Q9NZI8	Q9UBU9
Q9NR30	Q9NZC7
Q9NR30	Q9UQ35
Q9NR30	Q9Y2W1
Q9NR30	Q9Y5B9
Q9NR30	Q9NRC8
P68431	Q07666
P68431	Q9NR30
P68431	Q09028
P68431	Q16629
P68431	Q15459
P68431	P84098
P68431	Q9NVP2
P68431	Q12906
P68431	Q92793
P68431	Q12874
P68431	Q15022
P68431	Q15393
P68431	Q13547
P68431	P78527
P68431	Q9UQE7
P68431	Q9Y2W1
P68431	Q9UER7
P68431	Q12873
P68431	Q9Y5B9
P68431	Q96GM5
P68431	Q9Y2M0
P68431	Q92769
P68431	Q9UKM9
P68431	Q09472
P68431	Q92922
P68431	Q9UQL6
P68431	Q969G3
P68431	Q14839
P68431	Q9NRC8
P68431	P78347
P68431	Q9UKL0
P68431	Q96EB6
P68431	Q13435
P68431	Q9UQ35
P68431	Q15428
P68431	Q13263
P68431	Q12888
P68431	Q14683
P68431	Q92878
P68431	Q15910
P68431	Q8TAQ2
Q13310	Q13620
Q13310	Q96B97
Q13310	Q9H0W5
Q13310	Q93034
Q13310	Q13618
Q13310	Q8WXA9
Q13310	Q86VP6
Q13310	Q9UHX1
Q13310	Q15910
Q13310	Q9NZC7
Q13310	Q9NRC8
Q13310	Q86V81
Q13310	Q13617
Q13310	Q92905
Q13310	Q15022
Q13310	Q99496
Q13310	Q14999
Q13310	Q9H0R8
Q13310	Q15428
Q13310	Q9NQC7
Q13310	Q16666
Q13310	Q13616
Q9BUJ2	Q9H492
Q9BUJ2	Q9GZQ8
Q9BUJ2	Q9NQC7
Q9BUJ2	Q9H0R8
Q9BUJ2	Q9NZC7
Q9BUJ2	Q9NRC8
Q9BUJ2	Q9UBU9
P62750	Q13617
P62750	Q12905
P62750	Q12906
P62750	P84098
P62750	Q86VP6
P62750	P62753
P62750	Q9GZQ8
P62750	Q93034
P62750	Q14999
P62750	Q13620
P62750	P62913
P62750	Q86VM9
P62750	Q9NQC7
P62750	P62899
P62750	Q13148
P62750	Q92905
P62750	Q02878
P62750	Q9H0R8
P62750	Q13618
P62750	Q00987
P62750	Q13616
P62750	Q15843
P62750	Q9BQG0
P62750	P62847
P62750	Q13573
P62750	P67809
P62750	Q07020
P62750	P62917
P62750	Q9NRC8
P62750	P68104
P62750	P62906
P62750	Q14872
P62750	Q99496
P62750	Q00839
Q07020	Q9BQG0
Q07020	Q13618
Q07020	Q14999
Q07020	Q12905
Q07020	Q9H0W5
Q07020	Q15843
Q07020	Q92905
Q07020	Q13310
Q07020	Q9H0R8
Q07020	Q7L2Z9
Q07020	Q9H492
Q07020	Q13617
Q07020	Q86VP6
Q07020	Q93034
Q07020	Q13616
Q07020	Q86VM9
Q07020	Q07021
Q07020	Q7Z6Z7
Q07020	Q12906
Q07020	Q9NQC7
Q07020	Q13620
Q99496	Q9UMS4
Q99496	Q9H2P0
Q99496	Q99729
Q99496	Q9BQG0
Q99496	Q9Y265
Q99496	Q9UQE7
Q99496	Q9UKM9
Q99496	Q9BUJ2
Q99496	Q9GZV8
Q99496	Q9Y5B9
Q99496	Q9Y230
Q99496	Q9NPF5
Q99496	Q9Y2W1
Q02878	Q92905
Q02878	Q08211
Q02878	Q9NQC7
Q02878	Q9UBU9
Q02878	Q7Z6Z7
Q02878	Q86VP6
Q02878	Q86VM9
Q02878	Q9NZC7
Q02878	Q13620
Q02878	Q9H0R8
Q02878	Q9NRC8
Q02878	Q12905
Q02878	Q12906
Q02878	Q9UQ35
Q02878	Q99496
Q02878	Q13616
Q02878	Q15287
Q02878	Q9NR30
Q02878	Q13618
Q02878	Q13148
Q02878	Q92900
Q02878	Q9UKM9
Q02878	Q9UHX1
Q02878	Q96EB6
Q02878	Q9H492
Q02878	Q9H0W5
Q02878	Q13617
Q02878	Q07020
Q02878	Q93034
Q02878	Q15843
Q02878	Q6P2Q9
Q02878	Q9BQG0
Q02878	Q14999
Q02878	Q13310
P62899	Q13617
P62899	Q07020
P62899	Q12905
P62899	Q9NVP2
P62899	Q02878
P62899	P62917
P62899	Q99459
P62899	Q01844
P62899	Q9H492
P62899	Q9NR30
P62899	Q13620
P62899	P68104
P62899	Q13148
P62899	Q08211
P62899	Q9H0R8
P62899	P84098
P62899	Q12906
P62899	Q86VM9
P62899	P68431
P62899	P63104
P62899	Q13618
P62899	Q99496
P62899	P62913
P62899	Q9NQC7
P62899	Q93034
P62899	Q13573
P62899	P62906
P62899	Q92905
P62899	Q13616
P62899	Q15843
P62899	Q86VP6
Q15022	Q15910
Q15022	Q15029
Q15022	Q6P2Q9
Q15022	Q15287
Q15022	Q9UQE7
Q15022	Q9UKM9
Q15022	Q16629
Q15022	Q15427
Q15022	Q9NVC6
Q15022	Q9Y230
Q15022	Q9UBU9
Q15022	Q99496
Q15022	Q86V81
Q15022	Q15459
Q15022	Q9GZV8
Q15022	Q9UMS4
Q15022	Q96EB6
Q15022	Q92945
Q15022	Q9Y2W1
Q15022	Q92900
Q15022	Q92769
Q15022	Q93009
Q15022	Q7L190
Q15022	Q15393
Q15022	Q96PK6
Q15022	Q15637
P62913	Q12905
P62913	Q93034
P62913	P62917
P62913	Q9H0W5
P62913	Q86VM9
P62913	Q86VP6
P62913	Q15843
P62913	Q00839
P62913	Q13148
P62913	Q07020
P62913	P68104
P62913	Q92905
P62913	Q13618
P62913	Q9GZQ8
P62913	Q92900
P62913	Q9H492
P62913	Q02878
P62913	Q13617
P62913	Q13620
P62913	Q9NQC7
P62913	Q14872
P62913	Q12906
P62913	Q00987
P62913	P84098
P62913	Q14999
P62913	Q13616
P62913	Q9H0R8
P62917	Q00839
P62917	Q13573
P62917	P63279
P62917	Q9NQC7
P62917	Q86VP6
P62917	Q13620
