source	target
P68431	Q07666
P68431	Q09028
P68431	Q9NVP2
P68431	Q92793
P68431	Q15022
P68431	Q96PU4
P68431	Q15393
P68431	Q13547
P68431	P78527
P68431	Q9UER7
P68431	Q12873
P68431	Q9Y5B9
P68431	Q96GM5
P68431	Q9Y2M0
P68431	Q92769
P68431	Q13185
P68431	Q09472
P68431	Q92922
P68431	Q9UQL6
P68431	Q5S007
P68431	Q969G3
P68431	Q6ZW49
P68431	Q14839
P68431	Q9NRC8
P68431	Q16576
P68431	Q9UKL0
P68431	Q96EB6
P68431	Q13111
P68431	Q9UBN7
P68431	Q13263
P68431	Q12888
P68431	Q14683
P68431	Q92878
P68431	Q14847
P68431	Q8TAQ2
P68431	Q92831
Q15022	Q96PU4
Q15022	Q6ZW49
Q15022	Q9BWU1
Q15022	Q9NVC6
Q15022	Q9Y230
Q15022	Q9UBU9
Q15022	Q9GZV8
Q15022	Q16576
Q15022	Q9UMS4
Q15022	Q96EB6
Q15022	Q92769
Q15022	Q93009
Q15022	Q96QD9
Q15022	Q15393
Q15022	Q15717
Q504Q3	Q92878
Q504Q3	Q71U36
Q504Q3	Q9NVP2
Q504Q3	Q9Y230
Q504Q3	Q99856
Q504Q3	Q92793
Q9H0R8	Q9UMS4
Q9H0R8	Q9Y230
Q9H0R8	Q9H492
Q9H0R8	Q9Y5B9
Q9H0R8	Q9HCE1
Q9H0R8	Q9UBU9
Q9UBU9	Q9Y4E8
Q9UBU9	Q9Y5B9
Q9UBU9	Q9UMS4
Q9UBU9	Q9UNE7
Q9UBU9	Q9Y230
Q9H492	Q9Y230
Q9H492	Q9HCE1
Q9HCE1	Q9UMS4
Q9HCE1	Q9NVP2
Q9HCE1	Q9NRC8
Q9HCE1	Q9Y5B9
Q9HCE1	Q9NX70
Q9HCE1	Q9UNE7
Q9NQC7	Q9Y230
Q9NQC7	Q9UMS4
Q9NQC7	Q9UBN7
Q9NQC7	Q9Y6K9
Q9NQC7	Q9Y4E8
P04637	P61956
P04637	Q12824
P04637	Q9HCE1
P04637	P29590
P04637	P08670
P04637	Q99856
P04637	P0CG48
P04637	P12956
P04637	P05412
P04637	P07900
P04637	Q14191
P04637	P63104
P04637	P24941
P04637	P49336
P04637	Q12888
P04637	P55072
P04637	P67870
P04637	P08047
P04637	Q92793
P04637	P51532
P04637	P61964
P04637	Q71U36
P04637	P10275
P04637	Q01167
P04637	Q9UER7
P04637	Q969H0
P04637	P15927
P04637	P68104
P04637	P15884
P04637	Q15717
P04637	P84022
P04637	P14373
P04637	Q15796
P04637	P17844
P04637	Q06330
P04637	Q13363
P04637	Q9C009
P04637	P16104
P04637	Q9BQE3
P04637	Q13263
P04637	P63279
P04637	Q13503
P04637	Q12873
P04637	Q13547
P04637	P62987
P04637	P78527
P04637	Q9Y4E8
P04637	Q92922
P04637	P46100
P04637	Q02880
P04637	Q92831
P04637	P12004
P04637	Q9UKV0
P04637	P06748
P04637	Q96ST3
P04637	Q09028
P04637	P27694
P04637	Q16666
P04637	Q504Q3
P04637	Q9P2P5
P04637	P41182
P04637	P09884
P04637	Q9UQL6
P04637	P09874
P04637	P63165
P04637	Q13283
P04637	P55209
P04637	Q9NVC6
P04637	Q16576
P04637	P62136
P04637	Q96GM5
P04637	Q8WYH8
P04637	Q04206
P04637	Q13315
P04637	Q07666
P04637	Q13509
P04637	Q9NRC8
P04637	Q92769
P04637	Q96PU4
P04637	Q9H0W5
P04637	P68400
P04637	P40337
P04637	Q96EB6
P04637	P52701
P04637	P06400
P04637	Q09472
P04637	P17028
P04637	P08559
P04637	Q7Z6Z7
P04637	Q6ZW49
P04637	Q96SB4
P04637	P54132
P04637	P38936
P04637	P42858
P04637	Q14764
P04637	P25490
P04637	P62993
P04637	Q01844
P04637	P61981
P04637	Q14999
P04637	Q14676
P04637	P12931
P04637	P19338
P04637	Q5S007
P04637	Q9NQC7
P04637	Q13573
P04637	Q93009
P04637	Q16665
P04637	P48730
P04637	P62258
P04637	P10276
P04637	Q9BQA5
P04637	Q9UNE7
P04637	Q00987
P04637	Q92905
P04637	P43246
P04637	Q8N2W9
Q13363	Q9UQL6
Q13363	Q13422
Q13363	Q504Q3
Q13363	Q92769
Q13363	Q15554
Q13363	Q9ULK4
Q13363	Q14258
Q13363	Q13469
Q13363	Q92793
Q13363	Q14839
Q13363	Q92831
Q13363	Q9UKL0
Q13363	Q13547
Q13363	Q9UKV0
Q13363	Q15717
Q13363	Q96ST3
P12830	Q08379
P12830	Q9Y4E8
P12830	Q96ST3
P12830	Q07021
P12830	P62136
P12830	P62258
P12830	Q14258
P12830	P48730
P12830	P13010
P12830	Q6IQ23
P12830	Q92793
P12830	Q14847
P12830	P51532
P12830	Q96B97
P12830	P22681
P12830	P49336
P12830	P46531
P12830	Q12824
P12830	P68400
P12830	P51531
P12830	P68431
P12830	P50402
P12830	Q9H0H5
P12830	Q93008
P12830	P35222
P12830	P63104
P12830	Q92769
P12830	Q14134
P12830	P51610
P12830	Q9P2P5
P12830	Q09472
P12830	P31749
P12830	P16333
P12830	Q13547
P12830	P29692
P12830	P68104
P12830	P12931
P12830	Q92922
P12830	Q00987
P63104	Q96B97
P63104	Q9H0R8
P63104	Q14999
P63104	P78527
P63104	Q01844
P63104	Q14258
P63104	Q13617
P63104	Q13322
P63104	Q9UBN7
P63104	Q9NQC7
P63104	Q8WUI4
P63104	Q09472
P63104	Q92905
P63104	Q15393
P63104	Q13509
P63104	Q12824
P63104	P68431
P63104	Q06413
P63104	Q13616
P63104	Q14676
P63104	Q99459
P63104	Q5S007
P63104	Q9NRD1
P63104	Q9UQL6
P63104	Q7Z6Z7
P63104	Q71U36
P63104	Q9HCE1
P63104	Q9UKV0
P63104	Q13618
P63104	Q86VP6
P63104	Q13469
P63104	Q8ND90
P63104	Q14683
P63104	Q9Y2M0
P63104	Q9UBU9
P63104	Q13263
P63104	Q16827
P63104	Q9BQE3
P63104	Q16659
P63104	Q9Y230
P63104	Q12888
P63104	P68104
P63104	Q9Y6K9
P63104	Q13111
P63104	Q14764
P62993	Q92922
P62993	Q96GM5
P62993	Q9H492
P62993	Q9H204
P62993	Q15717
P62993	Q92905
P62993	Q96EY1
P62993	Q14203
