source	target
Q13227	P04637
Q13227	O43739
P48431	Q08380
P48431	Q9H0U9
P48431	O14770
P07550	P57105
P07550	P27348
P68400	P07900
P68400	O00458
Q9UBU9	P07900
Q9UBU9	Q9NX57
Q9UBU9	P48201
Q9UBU9	O14964
P57105	P60709
P57105	P98164
P57105	Q13705
P57105	Q07954
P57105	O75208
P57105	Q15311
P57105	Q9H9J2
P57105	Q9BSJ8
P57105	O15056
P57105	Q14197
Q8WWB7	Q5T7M9
Q8WWB7	P12236
P27348	O14654
P27348	Q9NRR5
P27348	P06732
P27348	Q06413
P27348	P06576
P0CG48	P98066
P0CG48	P84077
P0CG48	Q676U5
P0CG48	P63010
P0CG48	P16152
P0CG48	Q9BYM8
P0CG48	P35372
P0CG48	Q13162
P0CG48	Q14192
P0CG48	Q9Y5M8
P0CG48	O60337
P0CG48	Q9UHL9
P0CG48	Q9BSL1
P12236	Q5JR59
P12236	Q9BRK4
P12236	O75208
P12236	O00483
Q6IBW4	P15328
Q6IBW4	Q9BRK4
Q9ULM2	Q9NQZ6
Q9ULM2	Q05639
P09429	Q15661
P09429	P04637
P09429	Q01844
Q8N682	O43889
Q8N682	P05067
Q15311	P07900
P25101	P29992
Q06830	Q13162
Q06830	Q15051
Q3KP66	O43739
Q3KP66	Q5TAQ9
Q969H4	O43739
Q969H4	Q6NSJ2
P50991	P40227
O95153	Q7L4P6
O95153	P30536
Q9BSL1	Q8TC12
Q9BZE4	P04637
Q9BZE4	O00458
Q5SW96	P63010
Q5SW96	P98164
Q5SW96	Q9H668
Q5SW96	A6NKD9
Q5SW96	P05549
Q5SW96	Q9BYT8
O43739	Q14258
O43739	P42336
O43739	P15408
O43739	P06213
O43739	Q9BRX9
O43739	P35568
Q92769	P04637
Q92769	O00458
O95817	P07900
O95817	Q53RE8
O95817	Q15427
Q7L8A9	Q9NRW1
O15056	Q96B97
Q13547	P04637
Q13547	O00458
Q9BUZ4	Q13137
Q9BUZ4	O15162
Q9BUZ4	Q14289
Q9BUZ4	Q9Y2W2
Q9BUZ4	Q08379
