source	target
P09429	Q15661
P09429	Q01844
P09429	Q13432
O96006	Q9Y4P9
O96006	O60341
Q9C005	P51610
P01100	Q9NVC6
P01100	P15408
Q8TC12	Q9H5K3
Q8TC12	P55058
Q8TC12	P40967
Q8TC12	P04629
Q8TC12	Q8TDD5
Q8TC12	P05161
Q8TC12	Q9BSL1
Q9BYT8	Q8NF91
Q9BYT8	Q5SW96
P01106	P31260
P01106	P0CG48
P01106	O14734
Q9C0B0	P50990
Q9C0B0	P56378
Q9C0B0	P50991
O14654	O00459
O14654	P42336
O14654	Q9P0N5
O14654	P27986
P04114	Q99541
P04114	P07900
Q9BSJ8	Q9Y6K9
Q9BSJ8	P57105
Q9BQB6	P02545
Q9BQB6	P48201
P29590	O14734
P29590	P02545
P63010	Q5SW96
P63010	P0CG48
Q9NRW1	Q7L8A9
Q9ULK4	Q9NX70
Q9ULK4	Q9NY72
Q5VSY0	O14964
Q5VSY0	P28845
P40425	Q9NXF8
P40425	O14770
Q9Y5Y6	Q06609
Q9Y5Y6	P14210
Q16543	P68104
Q16543	Q00534
Q16543	O15519
P04637	P02511
P04637	Q9H3M7
P04637	P19525
P04637	Q96EI5
P62258	O95295
Q00597	P00846
Q00597	P08238
Q00597	P07900
P09038	Q14512
P09038	Q16666
Q86SE5	Q12926
Q86SE5	Q01844
P08559	O14734
P08559	P0CG48
P60033	P13164
P60033	Q01844
O14734	Q8IWL3
O14734	Q04864
O14734	P26045
O14734	P05161
Q13547	O00458
Q13547	P40227
Q9Y6H6	P68104
P55072	P41240
P55072	O15503
P55072	P40227
P55072	P36873
P55072	O43251
P55072	Q9Y5Q9
Q9UGN5	Q5T7M9
Q9UGN5	Q8N5R6
Q96EI5	O00458
O00483	Q16774
O00483	P12236
Q14576	Q01844
P26045	P27348
O43865	Q15654
O43865	O14964
Q96G25	Q8ND90
Q96G25	Q9NX70
P49368	Q5TAQ9
P49368	P40227
P00846	Q00765
P00846	O00400
P00846	P08047
P62736	Q8ND90
P62736	Q92187
Q14103	Q15843
Q14103	Q16774
O00458	Q06413
O00458	P19525
O00458	P35222
O00458	P56524
O00458	Q92769
O00458	P68400
O00458	Q9BZE4
P24666	P06213
P24666	P02751
O43889	Q8N682
O43889	P02545
O43889	Q96BA8
O43889	P50402
O43889	Q12893
O43889	P51610
Q14512	P98160
Q14512	P05230
Q14512	Q9NRR5
Q9BRK4	O75909
Q9BRK4	Q86VW0
Q9BRK4	P12236
Q9BSL1	P0CG48
P25101	P29992
P36873	Q96S65
P36873	Q9Y4K3
P55196	O14807
P55196	P27348
P05141	P12236
Q8NFH5	Q16666
Q8IUH3	Q12926
P08047	P0CG48
Q9HD23	Q9H0U9
Q9HD23	Q8IWL3
Q6DKK2	Q16774
Q6DKK2	Q8N5R6
Q9NRA8	Q01844
P30536	Q96BA8
P98066	O00585
P98066	P0CG48
P98066	Q99731
Q15233	Q9NX70
Q96F46	Q9Y4K3
Q96F46	Q8NAC3
Q01850	O14964
Q01850	P48454
Q9H9H4	Q96B97
Q9H9H4	O60504
P09914	P07900
P09914	P08238
Q8WWB7	Q5T7M9
Q8WWB7	P12236
Q4J6C6	Q15717
Q5SW96	P98164
Q5SW96	Q13573
Q5SW96	P05549
Q5SW96	P01130
Q5SW96	Q07866
Q5SW96	Q00610
Q9P0N5	Q12893
Q9P0N5	P50402
Q05639	P68104
Q05639	P55198
P61769	P02511
O00470	P31260
O00470	O14770
Q9NP66	Q9NQZ6
Q9NP66	O60341
Q9UKV8	P0CG48
Q9UKV8	P15328
P98160	P0CG48
Q676U5	Q8WXF8
Q676U5	P0CG48
P05161	P68104
O75844	P02545
O75844	P57105
P04629	P0CG48
P61981	Q5VTL8
P61981	P68104
P61981	Q9BZE4
Q7Z6Z7	O14807
Q7Z6Z7	P0CG48
P29972	P02545
P29972	Q96S65
P55198	Q9Y6K9
Q9Y5Q9	Q8WXF8
P31946	P06213
P31946	O00459
P31946	Q8TEU7
P31946	Q07866
Q6P1K2	Q9NQZ6
Q6P1K2	P07900
P16333	Q15661
P16333	Q15427
P15328	P07948
P15328	Q13618
P15328	Q6IBW4
P15328	Q6IQ23
P15328	P49721
P15328	P12268
Q12926	Q9H000
P68104	Q15843
P68104	Q9Y4K3
P68104	P08237
P68104	Q8IUH5
P68104	P06576
P68104	Q9UBU9
P68104	Q15051
P68104	Q16082
P68104	Q9NZ94
P68104	Q14192
P68104	Q6IQ23
Q5D1E8	P0CG48
Q5D1E8	Q9Y6K9
Q00765	Q9NXF8
Q00765	Q9NVC6
P06576	P48201
P40259	Q5T7M9
P40259	P12236
P07948	P0CG48
O95990	Q8ND90
Q5T7M9	Q9H5K3
Q5T7M9	P55058
Q5T7M9	Q8NAC3
Q5T7M9	Q92187
Q5T7M9	Q9UNA3
