name	connected_components_id	isSeed	nrOfOccurrences	significance	trees	is_seed	spd	component_id
Q9P1W9	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.4090909090909091	0
Q9BYM8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.036585365853658534	0
Q9BSJ6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.058823529411764705	0
Q15427	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.024793388429752067	0
Q16666	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.01141552511415525	0
Q9NQZ6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
Q8WW12	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.6111111111111112	0
P17980	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0049504950495049506	0
O95273	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.019801980198019802	0
Q9BQ66	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.018018018018018018	0
O00308	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.005235602094240838	0
Q9NRY6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.1111111111111111	0
Q8N4H5	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.2	0
P07307	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.18181818181818182	0
Q9HD26	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.022388059701492536	0
O96006	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.020833333333333332	0
O15162	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.04285714285714286	0
Q8N9W6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.21428571428571427	0
Q9UKT9	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.027522935779816515	0
P55072	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.027070063694267517	0
Q15007	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.06896551724137931	0
Q14129	0	0	4	0.13333333333333333	2,6,14,22	0	0.03333333333333333	0
Q15637	0	0	3	0.1	1,16,19	0	0.008368200836820083	0
Q7Z6Z7	0	0	3	0.1	4,13,24	0	0.0041753653444676405	0
P31942	0	0	3	0.1	5,15,24	0	0.017094017094017096	0
Q92934	0	0	4	0.13333333333333333	3,8,17,26	0	0.034482758620689655	0
Q5VTB9	0	0	4	0.13333333333333333	2,8,16,24	0	0.13333333333333333	0
P08238	0	0	3	0.1	6,14,23	0	0.002677376171352075	0
P52948	0	0	4	0.13333333333333333	2,10,19,28	0	0.023529411764705882	0
Q9Y6K9	0	0	4	0.13333333333333333	3,11,20,29	0	0.004545454545454545	0
P07900	0	0	4	0.13333333333333333	4,9,18,27	0	0.002336448598130841	0
Q86VP6	0	0	3	0.1	5,11,22	0	0.0029895366218236174	0
P0C7X2	0	0	4	0.13333333333333333	4,12,20,28	0	0.045454545454545456	0
Q9BUN8	0	0	4	0.13333333333333333	7,9,16,24	0	0.01680672268907563	0
Q9UBU9	0	0	3	0.1	3,12,23	0	0.001763668430335097	0
Q00987	0	0	3	0.1	1,13,22	0	0.0034482758620689655	0
P62829	0	0	4	0.13333333333333333	1,12,20,28	0	0.008064516129032258	0
Q9BQD3	0	0	4	0.13333333333333333	3,11,19,27	0	0.04081632653061224	0
P11021	0	0	3	0.1	4,14,22	0	0.0037105751391465678	0
P02545	0	0	4	0.13333333333333333	0,7,18,28	0	0.0029895366218236174	0
P27986	0	0	5	0.16666666666666666	0,5,13,21,29	0	0.005763688760806916	0
Q9HCE1	0	0	3	0.1	4,14,25	0	0.0019782393669634025	0
Q9Y5L4	0	0	3	0.1	1,12,21	0	0.02666666666666667	0
O60504	0	0	4	0.13333333333333333	1,9,17,25	0	0.028985507246376812	0
Q15006	0	0	3	0.1	3,10,21	0	0.01818181818181818	0
Q9ULM2	0	0	4	0.13333333333333333	3,7,15,23	0	0.07142857142857142	0
O43251	0	0	11	0.36666666666666664	1,2,5,8,11,14,17,20,23,26,29	0	0.019230769230769232	0
P54253	0	0	4	0.13333333333333333	0,7,16,25	0	0.007575757575757576	0
Q96RT1	0	0	4	0.13333333333333333	4,9,20,29	0	0.012195121951219513	0
Q86TM6	0	0	4	0.13333333333333333	6,10,17,25	0	0.02197802197802198	0
Q15717	0	0	3	0.1	6,15,26	0	0.0016731734523145567	0
P15622	0	0	4	0.13333333333333333	2,10,18,26	0	0.04	0
P18031	0	0	4	0.13333333333333333	3,8,19,27	0	0.011494252873563218	0
P05067	0	0	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	0	0.0022904260192395786	0
Q13438	0	0	4	0.13333333333333333	2,13,21,29	0	0.017094017094017096	0
P81408	0	0	4	0.13333333333333333	0,8,15,23	0	0.021739130434782608	0
Q9GZZ9	0	0	10	0.3333333333333333	0,4,7,10,13,16,19,22,25,28	0	0.023255813953488372	0
Q92734	0	0	10	0.3333333333333333	1,3,6,9,12,15,18,21,24,27	0	0.02142857142857143	0
Q96PU4	0	0	3	0.1	2,17,27	0	0.019230769230769232	0
Q9NRD1	0	0	4	0.13333333333333333	5,11,18,26	0	0.0033222591362126247	0
Q9GZV8	1	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0	1
Q96JM7	2	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0	2
