source	target
P62987	P06748
P62987	Q7L7L0
P62807	P06733
P62807	Q15056
P49736	Q93077
P49736	P07900
Q05639	Q16543
Q05639	Q9ULM2
Q9BQD3	Q8N5R6
Q9BQD3	Q9NQZ6
Q9BQE3	P10809
Q9NQZ6	Q6P1K2
Q9NQZ6	Q9ULM2
Q9NQZ6	P27986
Q9NQZ6	Q8N302
Q9NQZ6	Q9NP66
Q9H2X6	Q16778
O60814	P60033
O60814	Q86WJ1
O60814	Q9UGI8
P05161	O14734
P05161	P07900
Q7Z434	Q9BYX4
Q7Z434	O95786
Q7Z434	P19525
Q7Z434	Q8IWL3
P50991	Q71U36
Q06830	Q13162
P84243	P19338
P84243	Q16778
P84243	Q9Y496
Q93077	P52757
Q93077	Q8IVM0
Q93077	P56945
Q93077	P46108
Q93077	O75815
Q93077	P25054
Q93077	P33992
Q96EK5	P55072
Q96EK5	O14782
O00400	P08238
O00400	P00846
Q5QJE6	Q7L7L0
Q5QJE6	Q16666
P19474	P08238
P19474	P55072
O95816	P05165
O95816	P07900
O95816	O75815
Q6P1K2	P07900
P63267	P62993
P63267	P11441
Q8IWL3	O14734
P25054	P25705
P25054	O14782
P68104	P07900
Q99459	P07900
Q99459	O14782
Q99459	P07437
Q71U36	P07195
Q71U36	P49368
Q71U36	P40227
Q71U36	P50990
Q71U36	Q9H2H9
Q9H2H9	P00846
Q08211	Q9NR30
Q08211	P16989
Q6NSJ2	Q9NP66
Q9BQG0	O95793
Q13247	Q08170
Q13247	Q13243
O14654	P07900
O14654	Q9H4B6
Q08380	P07900
Q08380	Q8IXZ2
P46108	P08238
P11441	P07900
P27986	P19338
Q9H4B6	O14782
P62937	P00338
P62937	P06733
Q9H845	P25705
Q9H845	P00846
Q8IVM0	P05141
P00846	Q00597
P00846	P08047
P60033	P19338
Q8IYW5	P19338
Q8IYW5	Q7L7L0
Q08945	Q16666
Q08945	Q7L7L0
Q92630	O14782
Q92630	P07900
Q9UGI8	P08238
P08238	P07900
Q00597	P07900
P45973	P19338
P45973	Q7L7L0
P19338	P07900
P12277	Q9HCE1
P19525	Q9HCE1
P19525	Q16666
P19525	O95793
P06733	P22061
P06733	Q13162
P06733	O95793
P55072	Q9BTM1
P55072	P26045
P08047	P07900
Q8NF91	Q16666
O95793	Q99623
O75582	Q7L7L0
O75582	P07900
P10809	Q16778
P10809	Q9HCC0
P10809	Q9NP66
P07900	Q13043
P07900	P06748
P07900	P25705
P07900	P78371
P07900	P00338
P07900	P04406
P07900	P05141
P07900	Q16543
P07900	Q96EY1
P07900	P01106
P07900	P56945
P07900	P33992
P07900	P62993
P04406	Q04864
Q96RQ3	Q9HCC0
P12236	Q16543
P16989	P67809
Q86WJ1	Q7L7L0
Q96F46	Q8NCM8
O14734	P08559
O14734	P01106
O14734	P29590
O14734	Q04864
O14734	P50542
O14734	P26045
P05165	P05166
Q92522	Q16666
Q92522	P67809
P50990	P07437
P06748	P29590
P06748	Q9Y5B9
Q7L7L0	P33992
Q7L7L0	Q9Y5B9
Q99623	P07437
Q8WWM7	P67809
Q9HCE1	Q9HAV7
Q9HCE1	P48201
Q9HCE1	O15066
Q9HCE1	Q8N302
Q9HCE1	P50542
Q13243	Q9NR30
P67809	P62736
P67809	P26196
P67809	P11940
P52757	P25705
Q8IXZ2	O14782
P08559	P78371
Q9NRI5	O14782
Q9NRI5	P07437
Q9GZV8	O75815
O14782	Q13043
O14782	O15066
O14782	Q9Y496
