source	target
P0DPB5	O95602
Q8NFQ8	Q8TF71
Q8NFQ8	P0CG48
Q49A26	Q16695
Q9NVP2	P51965
P56524	Q5JR59
P56524	Q96ST3
O43889	Q8N682
O43889	Q12893
O43889	P51610
O43889	P50402
Q969F0	Q8N6Y0
Q969F0	P50402
Q9NUM3	Q9NRP0
Q9NUM3	P20585
Q06124	P36955
Q06124	O60506
P12036	P10398
Q6P2Q9	P11940
Q6P2Q9	P34897
Q93077	P49736
P62805	P38398
P62805	Q9UJW3
P62805	P34897
P62805	P00533
P62805	Q969R5
P62805	P05067
O60506	P38398
O60506	O60504
O60506	P05067
O60506	P60033
O60506	Q9Y3C6
O60506	Q13620
O60506	Q9UKB1
O60506	P46108
O60506	Q14999
O60506	P62993
O60506	Q8IZY2
O60506	Q9H0H5
O60506	Q13618
O60506	Q9NQC7
Q8WYH8	Q9HCE1
O00308	P05166
O00308	P84077
O60262	O14775
O60262	Q9HAV0
O60262	P63096
O60262	Q8N5S1
O60262	Q9NPH0
O60262	Q9UHK0
P78371	P38398
P78371	O14775
P78371	P53779
P78371	Q6NXE6
O60341	P38398
O60341	Q9NRS6
O60341	O43463
O60341	P15923
O60341	Q9C0B0
O60341	P55055
O60341	P57682
O60341	P05230
Q9UBQ5	P60709
P12814	P08567
P12814	P07900
Q9NRP0	Q01814
Q9NRP0	Q9HC97
Q9NRP0	P80370
Q9NRP0	P16444
Q9NRP0	Q9NQ11
Q9NRP0	O15488
Q9NRP0	Q15714
Q9NRP0	O75530
Q8IUQ4	P29692
Q8IUQ4	Q9H3P2
Q9BYT8	Q5SW96
Q9BYT8	P63167
P04908	P38398
O60504	Q9NQZ6
P51610	P38398
P51610	Q15717
O43463	Q68G74
O43463	Q01081
P09884	P13010
Q00534	Q8WXF8
Q00534	P07900
O95639	Q9BRK4
O95639	P06748
O75369	P38398
Q12888	P38398
Q12888	P30260
Q15223	O00560
Q15223	P11362
Q15223	P15151
Q15223	P55196
Q92522	Q9HAU4
Q92522	Q14999
P55854	Q15843
Q16633	P14859
Q8WXF8	O43251
Q8WXF8	Q92851
Q8WXF8	Q9BQY4
Q8WXF8	Q9Y5Q9
Q8WXF8	Q9Y5X4
Q9Y2M0	Q9NZL4
Q9Y2M0	P68431
Q13426	P13010
P40227	P38398
P40227	Q14999
Q8N9W6	Q6P1W5
Q9NRA8	Q13363
Q13043	O14782
Q13043	P04637
Q5T9L3	P34903
Q5T9L3	Q9UBU9
P62807	P38398
P62807	O75364
P62807	P01241
Q68G74	Q9BWG4
Q68G74	P46108
Q68G74	O15169
Q68G74	P57682
Q68G74	P16885
Q8WVX3	P02545
Q8N205	Q6ZP80
Q8N205	P67870
Q8N205	Q12893
Q9UQL6	O60814
Q9UQL6	Q96ST3
Q9UQL6	P21333
O95789	Q8N998
O95789	Q9BRK4
Q13547	P38398
Q13547	P17612
Q13547	P08670
Q13547	Q9Y5X4
P0CG48	P38398
P0CG48	Q13643
P0CG48	P98160
P0CG48	P84077
P0CG48	P32121
P0CG48	Q9Y312
P0CG48	O00560
P0CG48	Q9NRR5
P0CG48	P11362
P0CG48	O15169
P0CG48	Q9NX40
P0CG48	Q9UMX0
P0CG48	Q15369
P0CG48	Q96PU5
P0CG48	P35568
P0CG48	P14735
P0CG48	O95071
P0CG48	P25391
P0CG48	Q96AD5
P0CG48	P10321
P0CG48	Q14192
P0CG48	P62993
Q9BQ65	Q8N4H5
Q9BQ65	Q9UMS4
P31260	Q92769
Q9Y2W2	P62136
Q99541	P04114
Q99541	P84077
Q99541	P53779
P0C7W6	Q969G3
O75177	Q969G3
O75177	Q92922
O14654	Q04206
Q9H2H9	P00846
Q9H2H9	P18859
Q9NRW1	Q7Z434
Q9NRW1	P05067
Q7L7L0	Q16695
O14964	O43513
O14964	Q5VSY0
O14964	O75558
O14964	Q96B67
O14964	P54257
O14964	P34897
O14964	P05067
Q7L4P6	Q93009
P23497	O43865
P23497	Q96GY0
Q9NPF5	P60709
P55774	P68104
Q9BWF2	Q9Y4K3
Q7L8A9	P11142
Q14676	P38398
Q14676	P78362
Q14676	Q14999
Q13247	Q9HAU4
Q5D1E8	Q9Y4K3
P25963	Q04206
Q01955	P0DJI8
Q01955	Q9HCE1
Q9H0U9	Q9HD23
Q9H0U9	P05067
Q9NS71	P30260
Q9NS71	Q8TAX7
Q9NS71	P01833
Q9NS71	P04745
Q9NS71	P01876
Q9NS71	O95071
Q9NS71	Q96DA0
Q9NS71	Q6P5S2
P07195	P38398
Q01844	P38398
Q01844	P09429
Q01844	O95817
Q01844	Q9BQY4
Q01844	Q9UIQ6
Q01844	Q9Y5S9
Q9HAV7	P38398
Q9UBU9	Q06609
Q9UBU9	Q9NX57
Q9UBU9	Q8IYN2
Q9UBU9	Q9H246
Q9UBU9	Q86TW2
Q9UBU9	O95870
Q9BQE3	P38398
Q9BQE3	P20231
Q9BQE3	Q92630
P24863	O43513
P05067	Q9BX68
P05067	Q92478
P05067	Q53RE8
P05067	Q9Y5F6
P05067	Q6UWN8
P05067	P62937
P05067	Q15772
P05067	P61981
P05067	P63172
P05067	Q8N5R6
P05067	Q9BYX4
P05067	Q8N682
P05067	Q16594
P05067	Q03519
P05067	P84103
P05067	Q9BXS6
P05067	P14859
P05067	Q7L2Z9
P05067	Q9BYM8
P05067	Q9NZL4
P05067	Q92841
P05067	Q96FQ6
P05067	Q9Y5A6
P28370	O60264
P12931	P60709
P51116	Q8WVF5
P51116	P38398
Q9NQZ6	Q96C55
O14786	P49763
O14786	P21333
P06899	P49736
P35914	Q9HCC0
Q92624	O95990
Q92624	P14770
Q92624	P16444
P27348	P38398
P27348	Q15772
P27348	P30556
P27348	P17302
P27348	Q9NRI5
P27348	P34947
P27348	P55196
P27348	P04049
Q9C005	P38398
Q9BYX4	P62136
P33778	P68431
P63165	P38398
P63165	P41597
P20671	P68104
Q96IT1	Q9NWS9
Q6S8J3	Q04206
P84243	P13010
Q09028	P38398
Q7L5A8	P02545
P04637	P38398
P04637	O60551
P04637	P20023
P04637	Q9Y5Q9
P04637	P16885
P04637	Q15714
P04637	P30419
P07900	P38398
P07900	P04114
P07900	Q969U6
P07900	P15692
P07900	Q00597
P07900	Q12851
P07900	P16591
P07900	Q9NVF7
O43557	Q92956
O43557	Q12933
Q08380	P38398
P15923	Q7RTU7
P17987	P38398
Q96RQ3	P09914
O14807	Q15369
O14807	Q8WWW0
O14807	P62195
O14807	Q7L0Q8
O14807	P04049
O14807	Q7Z6Z7
O14807	Q8TEU7
O14807	P55196
Q9BTM1	P62136
P19419	P38398
P19419	Q02535
Q14525	Q9Y4E8
P06733	P38398
P06733	P52789
P06733	Q9Y448
P06733	Q9NZ08
P06733	Q99972
P06733	Q8TEU7
P69892	P49736
P54132	P38398
P15391	P13164
P15391	Q99856
P29590	Q06609
P29590	Q99856
P29590	O14734
P29590	Q9H159
P16989	Q15843
P18859	P19838
Q99613	P60709
P09038	Q14512
P09038	Q16666
P36955	Q86YD3
P36955	P68366
P36955	P11021
P36955	Q96PU5
P36955	P40692
P36955	Q9P2G9
P36955	Q96AD5
P36955	Q99972
P36955	Q969R5
Q96SW2	Q8WUH6
Q96SW2	P38398
Q6P1W5	O14770
Q13310	P38398
Q13310	Q14999
Q9UER7	P19474
Q9UER7	Q99880
P35658	P38398
O75909	O75558
Q9BUL8	Q8NEY4
Q9BUL8	P12004
P67809	P38398
P67809	Q6AW86
P40616	O95793
Q8N257	Q93009
Q9NX70	O43513
O15379	Q04206
P51617	Q16543
P63172	Q96FJ2
P63172	P51808
P63172	P15151
P08567	P00488
P08567	P26038
P08567	P07996
P08567	Q7L0Q8
Q04637	P38398
P05408	P30556
P05408	P55055
P05408	Q9NRR5
P05408	Q9UMX0
P05408	O43586
P05408	P41597
P05408	Q07666
Q9H3M7	Q9HAU4
Q9NRY6	O15162
Q15750	Q9Y4K3
P52789	P52790
P63167	Q8IYA8
P63167	P60709
P55072	P38398
P55072	O43251
P55072	Q96EK5
P55072	Q9BQE4
P58876	P49736
Q9NZI8	P09914
Q9NZI8	Q9HAU4
Q9H0A8	Q04206
Q9H0A8	Q9HBV2
Q9Y2G8	Q71U36
O96006	O75928
O96006	Q9Y4P9
P01100	Q04206
P01100	P09237
O75828	P16152
P00846	P08047
P00846	Q00597
P00846	O00400
P00846	Q00765
P00846	Q9H845
Q96GM5	Q13137
Q96GM5	P15531
Q16621	Q96BA8
Q16621	P05114
Q13162	Q9HCE1
P50991	P38398
P49458	Q14203
Q92882	P60709
Q92882	Q16394
P54920	P27694
Q08211	P38398
P61956	P38398
P13056	Q96ST3
Q06830	P38398
Q06830	Q13188
Q06830	Q14999
P04259	P22681
O95786	Q7Z434
O95793	P38398
Q8NHQ1	Q9BXS6
P31151	P09914
P12004	P38398
P12004	P30041
P12004	O43427
P25705	P60709
P25705	Q9H845
P25705	P62993
Q99750	Q5TAQ9
Q99750	Q96GS6
Q7RTU7	P48436
Q14457	P38398
Q16774	Q9HCE1
P12277	P62136
P20309	Q8TBF5
P20309	Q96EY1
Q15427	Q86XP3
Q8NEY4	A5A3E0
Q9BUA3	Q5JUX0
Q9BUA3	P62258
P01024	Q04206
P01024	Q8N9F7
Q9Y3Q4	Q9P1Z3
Q9Y3Q4	P06241
Q14192	Q68DY1
Q14192	P38398
P57105	P60709
Q9HCD5	Q16543
O00459	P60709
Q9UHD2	O75558
Q99879	P49736
P57053	P49736
Q96S65	P62136
O95602	P38398
Q13243	P62136
Q8WVF5	Q5JVL4
Q8WVF5	Q8IZW8
Q8WVF5	P16591
O95989	Q9HCE1
Q15056	Q9HCE1
Q9NXF8	Q9HCE1
P34903	Q13454
P34903	Q8IZY2
P34903	Q86WK6
P34903	Q92838
P34903	P00533
P34903	Q9H190
P34903	P10321
P34903	Q9UK28
O75533	P38398
Q92769	P38398
Q92769	O00458
P27986	Q15661
P27986	P38398
Q9H9H4	Q99816
Q9H9H4	Q96B97
P00338	P38398
P49736	Q93079
P49736	Q99880
P49736	Q5QNW6
P49736	Q96KK5
P49736	Q99878
P49736	P11021
P26196	P38398
Q9BSJ6	Q08379
Q9BSJ6	P62258
P62937	Q15843
Q9Y6K9	P21333
Q9Y6K9	O15488
P84103	Q03518
Q9UKL0	O00327
Q01081	P11940
P35372	P21333
P35372	Q9NSG2
Q9UMS4	P38398
Q13404	P19474
P48730	P38398
P48730	Q8IUH5
Q99962	P22681
Q99962	P00488
P49763	P15692
P49763	P17948
Q9Y265	P38398
Q9Y265	O43586
Q8N682	Q9H246
O94776	P38398
P49427	P19474
P49427	Q04206
P49427	Q9UKB1
Q71U36	P60709
P35579	P38398
P35579	P63096
P35579	Q9NQ11
Q6NXP0	P78362
Q6NXP0	Q13643
Q9BUZ4	Q9HAU4
P51532	P38398
P51532	Q00765
P06748	P38398
Q9UKT9	Q96ST3
Q9UKT9	P62993
Q9Y5A6	P38398
Q8ND90	P62736
Q8ND90	P60709
Q7Z4H7	O00327
P56181	P12236
O14686	Q71DI3
Q4J6C6	Q07021
P55198	P29692
P11142	P38398
P11142	P04114
Q8TAQ2	P38398
P22061	P38398
P22061	Q9BQB6
Q05639	P60709
Q05639	Q86YD3
Q7L2Z9	Q9Y5B9
O95153	P30536
O95153	Q9Y3Q8
Q5VTL8	P61981
Q5VTL8	P26641
P62826	P38398
P62826	Q9Y496
P62826	Q9NQP4
Q96IJ6	Q01850
