source	target
Q6UWN8	P05067
P17028	P68104
P17028	Q9NRD5
P40616	O95793
Q9Y6K9	P35579
Q9Y6K9	Q02535
Q9Y6K9	Q676U5
Q9Y6K9	O15488
Q15427	P19338
Q86TW2	Q8N4H5
Q86TW2	Q07021
Q96SW2	Q8WUH6
Q96SW2	Q9Y265
O14654	Q93008
O14654	Q08380
O14654	Q86X19
O14654	Q9P0N5
P62258	Q16594
P62258	Q9BUA3
O00560	Q15223
O00560	P12931
P10398	P08238
Q13546	P08238
Q13546	Q92851
P06241	P35579
P06241	Q9Y3Q4
P06241	P62873
P06241	P62993
Q96S65	P62136
Q99816	Q15233
Q99816	Q13310
Q9BUZ4	P35579
Q9BUZ4	P0C7X2
Q03519	P61769
Q03519	P46098
P51531	Q12873
O60519	Q15717
Q9Y2G8	Q71U36
P05230	Q14512
P05230	Q96SB4
O60262	P62879
O60262	Q96QD9
O60262	P08754
O60262	Q9HAV0
O60262	O14775
O60262	Q9NPH0
O60262	P04899
O60262	P62873
O43739	P15408
O43739	Q7Z6J2
O43739	Q9BRX9
O43739	Q969H4
O43739	Q9Y216
O43739	P42336
O43739	P35568
O43739	P06213
O43739	Q3KP66
P67870	P48454
P67870	P55209
P67870	Q8N205
O60814	P49736
Q15654	O43865
Q15654	Q5JVL4
Q9NRW1	P00338
Q9NRW1	Q7L8A9
P51610	Q9C005
P51610	P08047
P51610	Q13618
P51610	O43889
P51610	Q14192
P51610	Q9UKB1
Q92851	Q8WXF8
P26196	Q13137
P26196	Q15233
Q9H9H4	Q96GM5
P52789	P06733
Q71SY5	Q96G25
Q71SY5	Q9ULK4
P32121	Q5JUX0
P32121	Q71U36
Q92624	P0C0S8
Q92624	P16444
Q00765	P00846
Q00765	P51532
P22681	P35579
Q8WUI4	Q13137
Q8WUI4	P25101
O15503	P55072
Q99731	P98066
Q9BQE3	Q08380
Q9BQE3	P62993
Q92734	Q8N9W6
Q92734	Q15843
P21333	P35579
P21333	O14786
P21333	Q02952
Q96B97	P25705
Q9BYT8	Q5SW96
Q9BYT8	Q8NF91
P62807	Q96FJ2
P62807	Q9UGN5
Q99459	O14782
Q99459	Q9Y265
Q9NQZ6	P0C7X2
Q9NQZ6	Q9BQD3
Q9NQZ6	Q9UHL9
Q9NQZ6	Q5VTB9
Q9NQZ6	Q9NP66
Q9NQZ6	O60504
Q9NQZ6	P15622
Q9NQZ6	Q96C55
Q9NQ11	Q9NRP0
Q9NQ11	P35579
P49116	Q15750
Q9HCD5	Q9Y2M0
O95816	Q15750
O95816	Q9BRX9
P29692	P68104
P29692	O00400
P29692	P05067
Q92882	P60709
Q92882	Q16394
Q92882	P02545
Q01850	P48454
O75439	P60022
O75439	P25705
Q6NSJ2	O60341
Q6NSJ2	Q969H4
P15408	Q9C005
Q9UBQ5	Q16666
Q9UBQ5	P60033
Q13620	Q53RE8
Q13620	P07437
Q13620	Q16778
P62879	P40227
Q05639	P68104
Q05639	P55198
Q9UKV0	P51532
P13010	P78527
P67809	Q15750
P67809	P04114
P67809	P15692
P67809	Q6AW86
P67809	P30419
P67809	Q9UKB1
P05165	P09914
Q9UQL6	P35579
Q9UQL6	Q8WVV9
P62937	P35579
P20231	Q15661
P20231	Q71U36
Q03518	P84103
Q03518	P20309
P07900	P35579
P07900	P22607
P07900	Q00534
P07900	Q969U6
O14786	P49763
P36897	P08567
P36897	Q9NYJ8
P11021	P36955
P11021	Q9UHD2
P11021	Q8WUH6
P12956	P78347
Q9H0U9	Q9HD23
Q9H0U9	Q15717
Q9H0U9	P54257
Q9H0U9	P68400
Q04917	O75928
Q04917	P62136
Q04917	Q15717
P57105	P60709
P57105	P98164
Q14289	P08238
Q86SE5	Q96EZ8
P51116	Q8WVF5
P51116	Q9UHD2
P52701	P78527
Q9Y2W2	Q96EZ8
Q96FQ6	Q9UBU9
P48201	Q9UBU9
Q02535	Q68DY1
P20585	P12004
P04637	P35579
P04637	P05549
P04637	P09429
P04637	P53779
P04637	O15519
P04637	Q15714
P04637	Q9Y5Q9
P04637	O60551
Q8NF91	Q16666
Q9BTM1	P62136
P49427	Q04206
Q5VSY0	O14964
O00458	Q92769
O60760	Q96B67
O60760	Q96GS6
P10809	Q08380
P10809	P05161
P10809	Q9NP66
P10809	P04049
P10809	P04156
P56545	Q9ULK4
P24863	P78527
P18859	P25705
Q13432	O60341
Q7Z434	Q13137
O75369	P35579
Q00403	Q16594
Q00403	P55209
Q9H0A8	Q04206
O95990	O15162
O95990	Q13137
O43559	O15162
Q96F46	Q9Y4K3
Q96F46	Q8NCM8
Q99962	P50402
Q99962	P00488
P05141	P25705
Q86X19	Q12893
Q9UNA3	Q5T7M9
Q9UNA3	Q9H813
O75533	Q13243
O75533	Q9UKB1
Q71U36	Q9Y265
Q71U36	P08754
Q71U36	Q9H2H9
Q71U36	P12814
Q71U36	Q86YD3
Q09028	Q12873
P61956	Q12873
P61956	Q15717
P00846	P08047
P00846	Q9H845
P00846	Q00597
P00846	O00400
P00846	Q9H2H9
P05166	P09914
P05166	Q9UBU9
Q96EY1	O60341
P41240	P07947
Q15223	P22607
Q15223	O00214
Q15223	Q9NQS3
Q15223	P11362
Q15223	P21802
Q15223	Q9NRD5
Q15223	Q8TEW0
Q15223	P15151
Q15223	P04156
Q9Y287	P02545
Q9Y287	P05067
Q13363	Q12873
Q13363	Q9Y216
O95153	P30536
P10914	P51532
Q15717	Q9Y265
Q15717	O95989
Q15717	O95786
Q15717	Q8TAQ2
Q15717	Q8WW12
Q15717	Q96SB4
Q15717	Q9P1Z3
P19838	Q12873
P19838	Q96IJ6
P0CG48	Q12873
P0CG48	P98066
P0CG48	P84077
P0CG48	Q9BSL1
P0CG48	Q96AD5
P0CG48	Q04771
