source	target
Q03519	Q03518
Q03519	P61769
Q03519	P46098
O75369	Q71U36
O75369	P32121
O60262	Q9HAV0
O60262	P62873
O60262	P04899
O60262	P08754
O60262	Q96QD9
O60262	Q9UHK0
O60262	Q13368
O60262	O14775
P41597	P05408
P41597	Q13243
P22681	O43561
P22681	P42336
P22681	P62993
P05408	P55055
P05408	P30556
P05408	Q9UMX0
P05408	Q9NRR5
P05408	Q07666
P02545	O43561
P02545	Q7L5A8
P02545	Q9Y287
P02545	Q8WVX3
P02545	Q9ULM2
P62258	P62736
P62258	Q9C0B0
P62258	P32121
P62258	P04049
P62258	P34897
P62258	Q96GS6
P62258	Q9BUA3
P62258	Q9H4B6
P62258	Q01814
P62258	P55196
P62258	O95817
P62258	P35568
P62258	Q06124
P62258	P15056
Q8TBF5	P20309
Q8TBF5	Q9UKB1
P25101	P12931
P25101	P29992
Q16666	P11940
Q16666	Q8IWA0
O95816	Q71U36
P12236	Q04206
Q5VSY0	O14964
Q5VSY0	P28845
P49427	P25963
P49427	Q04206
P49427	Q9UKB1
Q15714	Q9NRP0
Q15714	P04637
Q14676	Q14683
Q02535	Q68DY1
Q02535	Q9HAU4
Q01844	P07947
Q01844	Q9UIQ6
Q01844	Q9Y3C6
Q01844	Q9Y5S9
P55884	O00303
P55884	P60709
P55884	Q9NQC7
Q9C0B0	P56378
Q92845	O14782
Q92845	P12931
Q9HD26	P29590
Q9HD26	Q9UBU9
Q9HD26	Q9P0N5
Q9HD26	P15408
Q8NHQ1	O95251
Q92882	P12931
Q92882	Q16394
O95602	Q9Y5B9
O95602	Q9UKB1
O15519	Q8WXF8
O15519	P04637
P84103	P07947
P36955	Q96PU5
P36955	Q96AD5
P36955	Q969R5
P36955	P40692
P36955	Q86YD3
P36955	Q9P2G9
P36955	P68400
P36955	Q06124
P36955	P68366
P13010	P14859
P13010	Q13617
P13010	Q16763
Q05639	P11940
P51532	Q16594
P51532	Q16778
P51532	Q00765
P04637	P62736
P04637	Q13227
P04637	Q9Y5Q9
P04637	P08047
P04637	P11021
P04637	P05549
P04637	P09429
P04637	P53779
P04637	P30419
P04637	Q02952
P04637	P16070
P04637	Q07666
P04637	P68400
P04637	O60551
P04637	P68366
P04637	P62195
P40227	P62136
P40227	Q9UKB1
P40227	Q9BRX9
P40227	P84077
P40227	Q969R5
P40227	Q14999
P40227	Q9NQC7
P40227	Q96SW2
P40227	Q13618
P40227	P02751
P40227	P25054
P40227	P08670
Q8TEU7	O14807
Q8TEU7	P31946
Q15654	P12931
Q15654	Q5JVL4
Q9HCD5	Q9UBU9
Q8N302	Q9NQZ6
Q8N302	Q9UBU9
P27986	Q15661
P27986	P21333
P27986	Q9NQZ6
P08238	P07947
P08238	O00400
P08238	Q92630
P08238	Q969U6
P08238	P04899
P08238	P08581
P08238	P11362
P08238	Q00597
P08238	P22607
Q9HAV0	O14770
Q9H2P0	Q9UER7
Q96G25	Q9ULK4
Q02750	P12931
P49116	P07900
Q9P1W9	P07900
P21673	Q9Y3Q8
Q9NXF8	Q9UBU9
Q15056	P62807
P09914	Q96RQ3
P09914	P11940
P09914	Q9HAV7
P16591	Q8WVF5
P16591	P31946
P04156	Q15223
P04156	P67870
P37198	P19338
Q92624	O95990
Q92624	Q8WWW0
P55198	P29692
Q96PU5	Q04917
Q92841	P61956
Q92841	P05067
Q92841	P80188
Q92841	O60504
O75928	P61956
Q9NPF5	P60709
P19838	P62807
P19838	Q96IJ6
Q8WUI4	P27348
P62079	Q8TC12
P62079	Q9H813
P50990	P07947
Q5TAQ9	P49368
Q5TAQ9	Q9UKB1
Q8N4H5	P05067
Q8N4H5	Q9NX40
Q8N4H5	P0C7P0
Q8N4H5	Q86TW2
Q8N4H5	Q9BQ65
P61981	P11940
P61981	Q5VTL8
P35372	Q8IUQ4
Q08379	Q9Y3Q8
P07437	P27348
Q4J6C6	Q07021
P63241	P07947
Q99856	Q12888
Q8IWA0	P08567
O75909	Q9Y3Q8
P55209	P07947
P0CG48	Q93008
P0CG48	P98066
P0CG48	Q96AD5
P0CG48	Q15369
P0CG48	Q16763
P0CG48	P51659
P0CG48	P14735
P0CG48	Q04771
P0CG48	Q14999
Q96B97	P11940
Q9BQG0	P19338
Q9HCE1	Q8N8U2
Q9HCE1	O75208
Q9HCE1	Q9UKB1
P55854	P07947
P55854	P55055
Q9H0A8	Q04206
P63165	P11940
Q14576	Q16543
Q14576	Q12926
Q06830	P62136
Q06830	Q13617
Q06830	Q13043
Q06830	P05161
Q92878	O76064
Q12873	P61956
Q5T7M9	O43505
Q5T7M9	Q9UNA3
Q5T7M9	Q92187
Q5T7M9	Q8NAC3
Q5T7M9	P46098
Q5T7M9	Q9UGN5
Q5T7M9	P55058
Q5T7M9	P28845
Q5T7M9	Q8WWB7
Q5T7M9	Q53F39
Q9NQZ6	P15622
Q9NQZ6	Q9ULM2
Q9NQZ6	Q9UHL9
Q9NQZ6	Q9BQD3
Q9NQZ6	Q6P1K2
Q9NQZ6	Q5VTB9
Q9NQZ6	O60504
Q5JUX0	Q6AW86
Q5JUX0	P32121
Q5JUX0	Q9BUA3
Q5JUX0	Q9NQC7
Q5JUX0	P34947
Q5JUX0	Q9NQP4
Q7L7L0	Q9Y5B9
Q96BA8	P30536
Q9BSJ6	O95273
Q9BSJ6	Q8IUQ4
Q9BSJ6	Q92769
P48454	Q01850
Q96F46	Q8NCM8
