source	target
Q8TEW0	Q15223
Q8TEW0	P04637
Q99816	Q9HCE1
Q6UWN8	P05067
Q96EK5	O14782
Q96EK5	P55072
Q9UMS4	Q9UQL6
Q9UMS4	Q9BQ65
P12004	Q13547
P12004	O43427
Q96QD9	O60262
Q96QD9	Q9UBU9
Q9H2P0	Q8WUI4
Q99972	P36955
Q99972	P06733
P13164	P60033
Q5VSY0	O14964
Q5T7M9	Q9UGN5
Q5T7M9	Q8WWB7
Q5T7M9	P55058
Q5T7M9	Q53F39
Q5T7M9	P46098
Q5T7M9	Q8NAC3
P04049	O14807
P04049	P49368
P41597	P05408
P41597	P63165
Q15007	Q15750
Q99962	P50402
P05230	Q14512
P05230	O60341
Q8WVX3	P02545
P30536	O95153
P30536	Q96BA8
P67870	P48454
P67870	Q8N205
P67870	P34897
P20585	P27694
P21333	O75369
P21333	O14786
P0C7P0	Q8N4H5
P0C7P0	Q7Z434
Q9H845	P00846
Q9H845	P25705
Q13310	Q16666
Q8N8U2	Q9HCE1
Q5D1E8	Q9Y4K3
P54132	Q92878
Q7L8A9	Q9NRW1
Q9ULM2	Q9NQZ6
Q9ULM2	Q9BRK4
Q01850	P48454
Q01850	P56524
P19525	Q16666
P40227	P49368
P40227	Q9UKB1
P40227	Q96SW2
P40227	P32121
P40227	P12830
P48201	Q9HCE1
P07900	Q9BYM8
P07900	P16591
P07900	Q00597
P07900	P15692
P07900	P08581
P07900	Q6P1K2
P07900	Q969U6
Q9Y5S9	Q8WUH6
Q9Y5S9	Q9UBU9
P25705	P31946
P25705	Q10713
P25705	O75439
P05067	Q53RE8
P05067	Q8N682
P05067	O76095
P05067	Q9BX68
P05067	Q5SW96
P05067	Q92478
P05067	P49736
P05067	O14964
P52789	P06733
P14555	Q93009
Q04206	Q93009
Q9Y6K9	Q9BYM8
Q9Y6K9	Q9P1W9
Q9Y6K9	Q02535
O95793	Q92841
O95793	P40616
O15503	P17980
O15503	P55072
Q9HD26	P37198
Q92769	Q8WUI4
Q92769	Q9NP66
Q9P1W9	P08238
P17948	P49763
P17948	P06241
P17948	P22681
P17948	P07947
Q15427	Q92841
Q9HC97	Q9NRP0
Q9HC97	P07947
Q14512	P98160
Q14512	P09038
Q14512	Q9NRR5
Q14512	O43427
Q96FQ6	Q9HCE1
P12268	P19838
P12268	P15328
P23497	Q16666
Q8IYN2	Q9UBU9
Q9BRK4	P24863
Q9BRK4	O75909
Q9BRK4	P15622
Q9Y3Q4	Q9P1Z3
Q9Y3Q4	P06241
Q9H0A8	P19838
Q9BUA3	Q5JUX0
Q9BUA3	P62258
P02511	Q13547
P02511	P09038
Q99623	Q9Y4E8
Q4J6C6	Q07021
P10914	P19838
Q9UPY8	Q8IUQ4
Q9BTM1	P62136
Q9BTM1	P55072
Q06609	Q96EY1
Q06609	Q9Y5Y6
Q08380	P49368
Q08380	P51116
Q08380	Q13620
Q08380	P11021
Q08380	Q13617
P63172	P51610
P63172	P51808
P50991	P49368
P50991	Q9C0B0
P50991	Q9NQC7
P30281	Q9UBQ5
Q16778	Q93009
Q99856	Q12888
Q8WVF5	Q8IZW8
Q8WVF5	P16591
Q8WVF5	P51116
Q8WVF5	Q5JVL4
P12236	Q5JR59
P51808	P15151
Q08170	Q96SB4
P51617	P49368
P51617	O95817
Q96RQ3	Q9HCC0
